sale_date,product_category,region,sales_amount
2024-09-05,Smartwatch,West,1773
2024-06-14,Laptop,North,2200
2024-11-30,Tablet,East,3757
2024-01-30,Tablet,North,4753
2024-09-03,Headphones,West,3696
2024-04-15,Smartphone,West,3848
2024-02-20,Tablet,East,3273
2024-03-21,Tablet,West,1915
2024-05-12,Smartwatch,West,3941
2024-10-11,Smartwatch,South,2105
2024-05-17,Laptop,South,4593
2024-07-02,Headphones,East,774
2024-11-25,Laptop,North,486
2024-09-29,Smartwatch,South,2258
2024-12-05,Smartphone,North,2761
2024-03-09,Smartwatch,West,2164
2024-02-03,Headphones,South,3951
2024-09-18,Smartwatch,East,3353
2024-02-22,Headphones,East,4736
2024-07-23,Headphones,East,4366
2024-05-05,Headphones,South,839
2024-08-22,Headphones,North,1501
2024-02-12,Headphones,West,3359
2024-08-27,Smartphone,North,2377
2024-04-20,Laptop,North,4004
2024-09-05,Tablet,West,4023
2024-05-30,Laptop,West,4314
2024-07-01,Headphones,South,3327
2024-12-01,Smartphone,South,2931
2024-04-04,Smartwatch,South,3858
2024-01-08,Smartphone,South,2612
2024-12-25,Headphones,South,2251
2024-07-02,Smartphone,West,3775
2024-10-07,Smartphone,North,2845
2024-07-13,Headphones,South,3966
2024-12-17,Smartphone,South,3864
2024-07-13,Tablet,North,2322
2024-06-03,Tablet,South,2892
2024-04-02,Smartphone,North,1797
2024-06-08,Smartwatch,North,3562
2024-03-01,Headphones,West,4163
2024-05-01,Tablet,East,1624
2024-02-20,Smartwatch,West,4860
2024-10-03,Smartphone,East,132
2024-01-05,Smartwatch,East,4125
2024-04-01,Laptop,East,2666
2024-06-18,Tablet,South,2903
2024-11-12,Smartphone,West,3996
2024-01-22,Headphones,East,3809
2024-11-21,Smartphone,North,819
2024-01-01,Headphones,South,4679
2024-05-12,Smartphone,West,1072
2024-08-20,Smartwatch,East,3818
2024-01-12,Smartwatch,North,4502
2024-12-11,Smartwatch,West,4652
2024-02-15,Laptop,West,2307
2024-02-03,Headphones,South,4526
2024-03-18,Smartwatch,West,4420
2024-08-05,Laptop,South,3130
2024-10-27,Headphones,East,3675
2024-03-13,Smartphone,South,3216
2024-10-08,Laptop,North,3385
2024-09-05,Tablet,South,743
2024-02-16,Laptop,North,4811
2024-04-30,Laptop,South,294
2024-08-01,Headphones,West,4096
2024-08-26,Smartphone,East,588
2024-02-25,Tablet,North,2304
2024-12-15,Smartwatch,South,2757
2024-04-16,Smartwatch,South,3376
2024-11-14,Laptop,South,1202
2024-02-17,Headphones,West,1341
2024-03-01,Headphones,West,615
2024-12-02,Smartwatch,North,492
2024-01-26,Tablet,North,730
2024-10-18,Smartphone,West,3816
2024-09-13,Tablet,North,1947
2024-01-08,Smartphone,East,2755
2024-04-22,Smartwatch,East,1079
2024-12-20,Smartphone,West,4629
2024-09-09,Headphones,North,3502
2024-06-28,Laptop,South,3971
2024-07-25,Laptop,East,377
2024-10-29,Smartwatch,West,332
2024-05-06,Headphones,North,1652
2024-02-25,Tablet,West,3370
2024-08-01,Headphones,South,2509
2024-01-14,Laptop,East,3612
2024-01-28,Laptop,West,125
2024-03-18,Headphones,West,560
2024-08-03,Headphones,West,3864
2024-12-30,Laptop,South,3531
2024-06-02,Tablet,West,3583
2024-01-14,Smartwatch,South,2094
2024-07-05,Smartwatch,South,590
2024-11-07,Headphones,South,1172
2024-01-07,Smartwatch,East,3273
2024-01-03,Laptop,East,315
2024-04-20,Laptop,West,1823
2024-08-25,Headphones,West,1692
2024-12-28,Headphones,East,2706
2024-08-26,Headphones,North,258
2024-09-30,Tablet,East,4881
2024-10-20,Smartwatch,South,3413
2024-08-14,Headphones,East,2941
2024-01-15,Smartphone,South,1876
2024-07-10,Smartphone,West,2152
2024-04-28,Laptop,North,2395
2024-01-28,Smartwatch,West,1796
2024-07-20,Headphones,South,3093
2024-02-08,Smartphone,South,2569
2024-09-29,Smartwatch,South,2046
2024-08-18,Laptop,North,3909
2024-03-26,Tablet,East,2883
2024-05-05,Smartwatch,West,3744
2024-10-26,Smartwatch,West,2600
2024-01-25,Tablet,East,3745
2024-05-24,Smartwatch,West,2745
2024-01-13,Laptop,North,2449
2024-07-30,Laptop,West,2032
2024-01-25,Tablet,South,3394
2024-03-08,Headphones,East,1857
2024-03-07,Smartphone,North,1216
2024-08-20,Headphones,East,2667
2024-04-18,Smartwatch,North,3599
2024-05-25,Smartphone,South,592
2024-04-20,Tablet,East,3406
2024-08-15,Tablet,West,719
2024-04-20,Smartphone,North,3332
2024-02-03,Laptop,East,3923
2024-04-20,Smartphone,West,2480
2024-09-20,Smartwatch,East,1646
2024-08-23,Laptop,East,3663
2024-03-23,Tablet,East,1705
2024-02-11,Smartphone,North,3852
2024-04-10,Headphones,West,4775
2024-01-06,Headphones,South,1990
2024-06-28,Smartwatch,North,1375
2024-10-08,Headphones,North,2843
2024-11-15,Smartphone,North,2593
2024-08-13,Smartphone,South,456
2024-11-10,Headphones,West,969
2024-12-30,Smartphone,West,985
2024-08-16,Smartwatch,West,2101
2024-10-15,Laptop,East,1383
2024-05-29,Smartwatch,East,719
2024-10-03,Smartwatch,East,982
2024-07-16,Smartphone,South,896
2024-03-10,Laptop,East,3742
2024-04-21,Smartphone,South,3525
2024-01-04,Tablet,West,1396
2024-12-15,Smartphone,East,4814
2024-11-26,Smartphone,East,344
2024-11-13,Smartphone,North,2995
2024-12-15,Laptop,South,1029
2024-04-04,Smartphone,West,619
2024-05-31,Laptop,North,3312
2024-11-06,Headphones,North,2509
2024-05-16,Tablet,West,107
2024-09-03,Laptop,North,2625
2024-08-30,Headphones,South,3523
2024-01-31,Laptop,South,2119
2024-02-09,Laptop,East,4690
2024-08-16,Tablet,North,4382
2024-02-05,Smartwatch,East,3767
2024-08-10,Smartwatch,North,3771
2024-01-06,Laptop,South,2901
2024-11-17,Smartphone,South,185
2024-08-07,Headphones,South,3215
2024-03-15,Smartphone,North,4332
2024-01-04,Smartphone,South,2568
2024-11-30,Laptop,North,3719
2024-05-13,Laptop,East,1736
2024-04-27,Laptop,North,3683
2024-04-03,Laptop,East,4109
2024-03-02,Smartwatch,North,3426
2024-07-12,Laptop,East,2318
2024-11-30,Smartwatch,South,2317
2024-07-21,Smartwatch,East,2469
2024-01-26,Laptop,South,3738
2024-06-21,Tablet,South,2603
2024-10-26,Headphones,East,1043
2024-05-12,Smartphone,North,2937
2024-11-21,Smartwatch,North,2760
2024-04-27,Headphones,West,3036
2024-11-19,Tablet,North,4544
2024-10-01,Smartphone,West,4047
2024-07-30,Smartphone,North,1776
2024-08-12,Smartwatch,North,1296
2024-01-20,Laptop,South,4205
2024-04-22,Tablet,West,2887
2024-05-19,Smartwatch,North,1561
2024-02-16,Tablet,West,3418
2024-01-01,Laptop,South,766
2024-03-30,Laptop,South,2276
2024-05-21,Smartwatch,West,3843
2024-11-15,Laptop,South,700
2024-02-07,Headphones,East,2752
2024-10-19,Smartphone,East,4522
2024-05-18,Smartwatch,South,3924
